design,sparsity,sparsity_order,shape,shape_order,dimensions,matrix_elements,M_rows,N_cols,latency_per_matrix_us,board_load_W,board_idle_W,board_dynamic_W,energy_static_uJ,energy_dynamic_uJ,energy_total_uJ,energy_static_pJ_per_element,energy_dynamic_pJ_per_element,energy_total_pJ_per_element,static_pct,energy_vs_dense,GFLOPS_effective
sparse,2:4,2,G3,3,1024x1024,1048576,1024,1024,14.2399,35.913,30.756,5.157,437.962,73.435,511.398,417.673,70.033,487.707,85.64,1.7259,147.27
sparse,2:4,2,G4,4,3072x768,2359296,3072,768,31.9946,35.913,30.756,5.157,984.026,164.996,1149.022,417.085,69.934,487.019,85.64,1.7505,147.48
sparse,2:4,2,G5,5,768x3072,2359296,768,3072,31.8702,35.913,30.756,5.157,980.2,164.355,1144.554,415.463,69.663,485.125,85.64,1.7711,148.06
sparse,2:4,2,G6,6,4096x1024,4194304,4096,1024,56.2487,35.913,30.756,5.157,1729.985,290.075,2020.06,412.461,69.159,481.62,85.64,1.7863,149.13
sparse,2:4,2,G7,7,1024x4096,4194304,1024,4096,56.5902,35.913,30.756,5.157,1740.488,291.836,2032.324,414.965,69.579,484.544,85.64,1.7672,148.23
sparse,2:4,2,G8,8,2048x2048,4194304,2048,2048,57.058,35.913,30.756,5.157,1754.876,294.248,2049.124,418.395,70.154,488.549,85.64,1.7467,147.02
sparse,2:4,2,G9,9,4096x4096,16777216,4096,4096,223.9066,35.913,30.756,5.157,6886.471,1154.686,8041.158,410.466,68.825,479.29,85.64,1.7873,149.86
sparse,2:4,2,G10,10,8192x2048,16777216,8192,2048,226.7357,35.913,30.756,5.157,6973.483,1169.276,8142.759,415.652,69.694,485.346,85.64,1.7711,147.99
sparse,2:4,2,G11,11,2048x8192,16777216,2048,8192,225.1055,35.913,30.756,5.157,6923.345,1160.869,8084.214,412.664,69.193,481.857,85.64,1.7868,149.06
sparse,2:8,3,G1,1,512x512,262144,512,512,1.8181,35.901,30.586,5.315,55.608,9.663,65.272,212.129,36.862,248.991,85.2,3.4437,288.37
sparse,2:8,3,G2,2,768x768,589824,768,768,4.0381,35.901,30.586,5.315,123.509,21.463,144.972,209.4,36.388,245.788,85.2,3.5139,292.13
sparse,2:8,3,G3,3,1024x1024,1048576,1024,1024,7.175,35.901,30.586,5.315,219.455,38.135,257.59,209.288,36.368,245.657,85.2,3.4265,292.28
sparse,2:8,3,G4,4,3072x768,2359296,3072,768,16.0976,35.901,30.586,5.315,492.361,85.559,577.92,208.69,36.265,244.954,85.2,3.4804,293.12
sparse,2:8,3,G5,5,768x3072,2359296,768,3072,15.9243,35.901,30.586,5.315,487.061,84.638,571.698,206.443,35.874,242.317,85.2,3.5458,296.31
sparse,2:8,3,G6,6,4096x1024,4194304,4096,1024,28.4773,35.901,30.586,5.315,871.007,151.357,1022.364,207.664,36.086,243.75,85.2,3.5296,294.57
sparse,2:8,3,G7,7,1024x4096,4194304,1024,4096,28.3859,35.901,30.586,5.315,868.211,150.871,1019.082,206.998,35.97,242.968,85.2,3.5243,295.52
sparse,2:8,3,G8,8,2048x2048,4194304,2048,2048,28.4299,35.901,30.586,5.315,869.557,151.105,1020.662,207.319,36.026,243.345,85.2,3.5067,295.06
sparse,2:8,3,G9,9,4096x4096,16777216,4096,4096,113.8756,35.901,30.586,5.315,3482.999,605.249,4088.248,207.603,36.076,243.679,85.2,3.5155,294.66
sparse,2:8,3,G10,10,8192x2048,16777216,8192,2048,113.8514,35.901,30.586,5.315,3482.259,605.12,4087.379,207.559,36.068,243.627,85.2,3.5283,294.72
sparse,2:8,3,G11,11,2048x8192,16777216,2048,8192,113.2006,35.901,30.586,5.315,3462.354,601.661,4064.015,206.372,35.862,242.234,85.2,3.5543,296.42
sparse,2:16,4,G1,1,512x512,262144,512,512,0.9125,35.851,30.371,5.48,27.714,5.001,32.714,105.719,19.075,124.794,84.71,6.8709,574.54
sparse,2:16,4,G2,2,768x768,589824,768,768,2.0399,35.851,30.371,5.48,61.954,11.179,73.132,105.038,18.953,123.99,84.71,6.9657,578.28
sparse,2:16,4,G3,3,1024x1024,1048576,1024,1024,3.5752,35.851,30.371,5.48,108.582,19.592,128.174,103.552,18.684,122.237,84.71,6.8862,586.58
sparse,2:16,4,G4,4,3072x768,2359296,3072,768,8.0447,35.851,30.371,5.48,244.326,44.085,288.411,103.559,18.686,122.244,84.71,6.9742,586.55
sparse,2:16,4,G5,5,768x3072,2359296,768,3072,7.9033,35.851,30.371,5.48,240.031,43.31,283.341,101.738,18.357,120.096,84.71,7.1544,597.04
sparse,2:16,4,G6,6,4096x1024,4194304,4096,1024,14.2766,35.851,30.371,5.48,433.595,78.236,511.83,103.377,18.653,122.03,84.71,7.0502,587.58
sparse,2:16,4,G7,7,1024x4096,4194304,1024,4096,14.1765,35.851,30.371,5.48,430.554,77.687,508.242,102.652,18.522,121.174,84.71,7.0666,591.73
sparse,2:16,4,G8,8,2048x2048,4194304,2048,2048,14.0804,35.851,30.371,5.48,427.636,77.161,504.796,101.956,18.397,120.353,84.71,7.0903,595.76
sparse,2:16,4,G9,9,4096x4096,16777216,4096,4096,56.5787,35.851,30.371,5.48,1718.352,310.051,2028.403,102.422,18.48,120.902,84.71,7.0854,593.06
sparse,2:16,4,G10,10,8192x2048,16777216,8192,2048,56.9705,35.851,30.371,5.48,1730.251,312.198,2042.449,103.131,18.608,121.739,84.71,7.0609,588.98
sparse,2:16,4,G11,11,2048x8192,16777216,2048,8192,56.6514,35.851,30.371,5.48,1720.56,310.45,2031.009,102.553,18.504,121.058,84.71,7.112,592.3
sparse,2:32,5,G1,1,512x512,262144,512,512,0.4657,35.9,30.47,5.43,14.19,2.529,16.719,54.13,9.646,63.777,84.87,13.4445,1125.89
sparse,2:32,5,G2,2,768x768,589824,768,768,1.0188,35.9,30.47,5.43,31.043,5.532,36.575,52.631,9.379,62.01,84.87,13.928,1157.84
sparse,2:32,5,G3,3,1024x1024,1048576,1024,1024,1.7924,35.9,30.47,5.43,54.614,9.733,64.347,52.084,9.282,61.366,84.87,13.7168,1170.03
sparse,2:32,5,G4,4,3072x768,2359296,3072,768,4.0897,35.9,30.47,5.43,124.613,22.207,146.82,52.818,9.413,62.231,84.87,13.6999,1153.79
sparse,2:32,5,G5,5,768x3072,2359296,768,3072,3.9411,35.9,30.47,5.43,120.085,21.4,141.485,50.899,9.071,59.969,84.87,14.3276,1197.28
sparse,2:32,5,G6,6,4096x1024,4194304,4096,1024,7.2076,35.9,30.47,5.43,219.616,39.137,258.753,52.36,9.331,61.691,84.87,13.9459,1163.86
sparse,2:32,5,G7,7,1024x4096,4194304,1024,4096,7.05,35.9,30.47,5.43,214.813,38.281,253.095,51.216,9.127,60.343,84.87,14.1905,1189.87
sparse,2:32,5,G8,8,2048x2048,4194304,2048,2048,7.1193,35.9,30.47,5.43,216.925,38.658,255.583,51.719,9.217,60.936,84.87,14.0039,1178.3
sparse,2:32,5,G9,9,4096x4096,16777216,4096,4096,28.2664,35.9,30.47,5.43,861.277,153.487,1014.764,51.336,9.149,60.485,84.87,14.1629,1187.08
sparse,2:32,5,G10,10,8192x2048,16777216,8192,2048,28.4503,35.9,30.47,5.43,866.881,154.485,1021.366,51.67,9.208,60.878,84.87,14.1198,1179.41
sparse,2:32,5,G11,11,2048x8192,16777216,2048,8192,27.9589,35.9,30.47,5.43,851.908,151.817,1003.725,50.778,9.049,59.827,84.87,14.3909,1200.13
sparse,MIXED,6,G1,1,512x512,262144,512,512,1.6602,35.985,30.247,5.738,50.216,9.526,59.742,191.559,36.34,227.899,84.05,3.7624,315.8
sparse,MIXED,6,G2,2,768x768,589824,768,768,3.7231,35.985,30.247,5.738,112.613,21.363,133.976,190.926,36.22,227.145,84.05,3.8023,316.84
sparse,MIXED,6,G3,3,1024x1024,1048576,1024,1024,6.4935,35.985,30.247,5.738,196.409,37.26,233.669,187.31,35.534,222.844,84.05,3.7773,322.96
sparse,MIXED,6,G4,4,3072x768,2359296,3072,768,14.7399,35.985,30.247,5.738,445.838,84.578,530.415,188.971,35.849,224.819,84.05,3.7922,320.12
sparse,MIXED,6,G5,5,768x3072,2359296,768,3072,14.71,35.985,30.247,5.738,444.933,84.406,529.339,188.587,35.776,224.363,84.05,3.8296,320.77
sparse,MIXED,6,G6,6,4096x1024,4194304,4096,1024,26.3139,35.985,30.247,5.738,795.917,150.989,946.906,189.761,35.999,225.76,84.05,3.8109,318.79
sparse,MIXED,6,G7,7,1024x4096,4194304,1024,4096,26.0928,35.985,30.247,5.738,789.229,149.72,938.949,188.167,35.696,223.863,84.05,3.8251,321.49
sparse,MIXED,6,G8,8,2048x2048,4194304,2048,2048,26.2266,35.985,30.247,5.738,793.276,150.488,943.764,189.132,35.879,225.011,84.05,3.7924,319.85
sparse,MIXED,6,G9,9,4096x4096,16777216,4096,4096,104.3351,35.985,30.247,5.738,3155.824,598.675,3754.499,188.102,35.684,223.786,84.05,3.8279,321.6
sparse,MIXED,6,G10,10,8192x2048,16777216,8192,2048,106.1097,35.985,30.247,5.738,3209.5,608.857,3818.358,191.301,36.291,227.592,84.05,3.7769,316.22
sparse,MIXED,6,G11,11,2048x8192,16777216,2048,8192,104.3028,35.985,30.247,5.738,3154.847,598.489,3753.336,188.044,35.673,223.716,84.05,3.8485,321.7
