 row  golden      hw     gold(dec)       hw(dec)      rel%
 208    4603    4603     8384.0000     8384.0000    0.000%
 209    4604    4604     8448.0000     8448.0000    0.000%
 210    45F3    45F3     7776.0000     7776.0000    0.000%
 211    45FC    45FC     8064.0000     8064.0000    0.000%
 212    45F8    45F8     7936.0000     7936.0000    0.000%
 213    4607    4607     8640.0000     8640.0000    0.000%
 214    4600    4600     8192.0000     8192.0000    0.000%
 215    45F3    45F3     7776.0000     7776.0000    0.000%
 216    45FD    45FD     8096.0000     8096.0000    0.000%
 217    4602    4602     8320.0000     8320.0000    0.000%
 218    4604    4604     8448.0000     8448.0000    0.000%
 219    45FF    45FF     8160.0000     8160.0000    0.000%
 220    45FD    45FD     8096.0000     8096.0000    0.000%
 221    4602    4602     8320.0000     8320.0000    0.000%
 222    45FE    45FE     8128.0000     8128.0000    0.000%
 223    4602    4602     8320.0000     8320.0000    0.000%
 224    460A    460A     8832.0000     8832.0000    0.000%
 225    4604    4604     8448.0000     8448.0000    0.000%
 226    4602    4602     8320.0000     8320.0000    0.000%
 227    4601    4601     8256.0000     8256.0000    0.000%
 228    45F9    45F9     7968.0000     7968.0000    0.000%
 229    4606    4606     8576.0000     8576.0000    0.000%
 230    45FE    45FE     8128.0000     8128.0000    0.000%
 231    4606    4606     8576.0000     8576.0000    0.000%
 232    4603    4603     8384.0000     8384.0000    0.000%
 233    4605    4605     8512.0000     8512.0000    0.000%
 234    4604    4604     8448.0000     8448.0000    0.000%
 235    45FF    45FF     8160.0000     8160.0000    0.000%
 236    4604    4604     8448.0000     8448.0000    0.000%
 237    4601    4601     8256.0000     8256.0000    0.000%
 238    4601    4601     8256.0000     8256.0000    0.000%
 239    4604    4604     8448.0000     8448.0000    0.000%
 240    45F8    45F8     7936.0000     7936.0000    0.000%
 241    4601    4601     8256.0000     8256.0000    0.000%
 242    4609    4609     8768.0000     8768.0000    0.000%
 243    4602    4602     8320.0000     8320.0000    0.000%
 244    4603    4603     8384.0000     8384.0000    0.000%
